Date,XLF,IYF
2020-05-15,21.049999237060547,49.654998779296875
2020-05-18,22.1299991607666,52.279998779296875
2020-05-19,21.59000015258789,51.220001220703125
2020-05-20,22.06999969482422,52.30500030517578
2020-05-21,22.0,52.15999984741211
2020-05-22,21.920000076293945,52.17499923706055
2020-05-26,23.059999465942383,54.5099983215332
2020-05-27,24.059999465942383,56.2400016784668
2020-05-28,23.68000030517578,55.744998931884766
2020-05-29,23.40999984741211,55.185001373291016
2020-06-01,23.68000030517578,55.904998779296875
2020-06-02,23.8700008392334,56.310001373291016
2020-06-03,24.760000228881836,58.21500015258789
2020-06-04,25.299999237060547,58.71500015258789
2020-06-05,26.239999771118164,60.900001525878906
2020-06-08,26.739999771118164,61.994998931884766
2020-06-09,26.170000076293945,60.959999084472656
2020-06-10,25.190000534057617,59.040000915527344
2020-06-11,23.1299991607666,54.6349983215332
2020-06-12,23.829999923706055,56.34000015258789
2020-06-15,24.15999984741211,56.69499969482422
2020-06-16,24.540000915527344,57.60499954223633
2020-06-17,24.170000076293945,56.86000061035156
2020-06-18,24.139999389648438,56.7400016784668
2020-06-19,23.979999542236328,56.2400016784668
2020-06-22,23.709999084472656,56.130001068115234
2020-06-23,23.81999969482422,56.28499984741211
2020-06-24,22.979999542236328,54.3650016784668
2020-06-25,23.59000015258789,55.599998474121094
2020-06-26,22.579999923706055,53.58000183105469
2020-06-29,22.829999923706055,54.290000915527344
2020-06-30,23.139999389648438,55.06999969482422
2020-07-01,22.940000534057617,55.005001068115234
2020-07-02,22.969999313354492,55.05500030517578
2020-07-06,23.40999984741211,55.779998779296875
2020-07-07,22.93000030517578,54.65999984741211
2020-07-08,23.170000076293945,55.0
2020-07-09,22.68000030517578,54.04499816894531
2020-07-10,23.459999084472656,55.29499816894531
2020-07-13,23.559999465942383,55.11000061035156
2020-07-14,23.68000030517578,55.61000061035156
2020-07-15,24.149999618530273,56.68000030517578
2020-07-16,24.149999618530273,56.43000030517578
2020-07-17,23.950000762939453,56.334999084472656
2020-07-20,23.84000015258789,56.13999938964844
2020-07-21,24.309999465942383,56.79999923706055
2020-07-22,24.309999465942383,57.06999969482422
2020-07-23,24.329999923706055,57.029998779296875
2020-07-24,24.270000457763672,56.72999954223633
2020-07-27,24.06999969482422,56.59000015258789
2020-07-28,24.010000228881836,56.685001373291016
2020-07-29,24.459999084472656,57.79999923706055
2020-07-30,24.020000457763672,57.005001068115234
2020-07-31,24.030000686645508,56.869998931884766
2020-08-03,24.100000381469727,56.810001373291016
2020-08-04,24.0,56.869998931884766
2020-08-05,24.329999923706055,57.56999969482422
2020-08-06,24.31999969482422,57.625
2020-08-07,24.84000015258789,58.540000915527344
2020-08-10,25.020000457763672,58.834999084472656
2020-08-11,25.309999465942383,59.154998779296875
2020-08-12,25.239999771118164,59.19499969482422
2020-08-13,25.079999923706055,58.779998779296875
2020-08-14,25.18000030517578,58.82500076293945
2020-08-17,24.760000228881836,58.45000076293945
2020-08-18,24.600000381469727,58.150001525878906
2020-08-19,24.59000015258789,57.915000915527344
2020-08-20,24.360000610351562,57.779998779296875
2020-08-21,24.309999465942383,57.69499969482422
2020-08-24,24.889999389648438,58.775001525878906
2020-08-25,24.959999084472656,58.94499969482422
2020-08-26,24.84000015258789,58.71500015258789
2020-08-27,25.260000228881836,59.56999969482422
2020-08-28,25.360000610351562,60.0
2020-08-31,25.059999465942383,59.26499938964844
2020-09-01,25.1299991607666,59.375
2020-09-02,25.489999771118164,60.2599983215332
2020-09-03,25.100000381469727,59.244998931884766
2020-09-04,25.290000915527344,59.255001068115234
2020-09-08,24.639999389648438,57.89500045776367
2020-09-09,24.889999389648438,58.57500076293945
2020-09-10,24.540000915527344,57.654998779296875
2020-09-11,24.709999084472656,57.79499816894531
2020-09-14,25.049999237060547,58.81999969482422
2020-09-15,24.709999084472656,58.52000045776367
2020-09-16,24.989999771118164,59.06999969482422
2020-09-17,24.729999542236328,58.3849983215332
2020-09-18,24.68000030517578,57.93000030517578
2020-09-21,23.93000030517578,56.404998779296875
2020-09-22,23.729999542236328,56.35499954223633
2020-09-23,23.200000762939453,54.720001220703125
2020-09-24,23.25,54.84000015258789
2020-09-25,23.489999771118164,55.54999923706055
2020-09-28,24.049999237060547,56.83000183105469
2020-09-29,23.75,56.23500061035156
2020-09-30,24.06999969482422,56.7400016784668
2020-10-01,24.110000610351562,57.189998626708984
2020-10-02,24.299999237060547,57.68000030517578
2020-10-05,24.700000762939453,58.5
2020-10-06,24.450000762939453,57.95500183105469
2020-10-07,24.860000610351562,58.67499923706055
2020-10-08,25.200000762939453,59.459999084472656
2020-10-09,25.229999542236328,59.54999923706055
2020-10-12,25.510000228881836,60.029998779296875
2020-10-13,25.020000457763672,59.060001373291016
2020-10-14,24.780000686645508,58.46500015258789
2020-10-15,24.969999313354492,58.7400016784668
2020-10-16,24.989999771118164,58.73500061035156
2020-10-19,24.610000610351562,57.81999969482422
2020-10-20,24.809999465942383,58.209999084472656
2020-10-21,24.68000030517578,58.084999084472656
2020-10-22,25.170000076293945,58.709999084472656
2020-10-23,25.25,58.974998474121094
2020-10-26,24.68000030517578,57.71500015258789
2020-10-27,24.229999542236328,56.689998626708984
2020-10-28,23.610000610351562,55.05500030517578
2020-10-29,23.790000915527344,55.6150016784668
2020-10-30,23.860000610351562,55.53499984741211
2020-11-02,24.309999465942383,56.68000030517578
2020-11-03,24.850000381469727,57.81999969482422
2020-11-04,24.559999465942383,57.66999816894531
2020-11-05,25.15999984741211,58.814998626708984
2020-11-06,24.959999084472656,58.35499954223633
2020-11-09,27.010000228881836,62.290000915527344
2020-11-10,27.149999618530273,62.77000045776367
2020-11-11,27.040000915527344,62.56999969482422
2020-11-12,26.59000015258789,61.57500076293945
2020-11-13,27.030000686645508,62.70500183105469
2020-11-16,27.6299991607666,63.904998779296875
2020-11-17,27.59000015258789,63.75
2020-11-18,27.329999923706055,63.040000915527344
2020-11-19,27.420000076293945,63.14500045776367
2020-11-20,27.18000030517578,62.61000061035156
2020-11-23,27.690000534057617,63.459999084472656
2020-11-24,28.65999984741211,65.06999969482422
2020-11-25,28.559999465942383,64.93000030517578
2020-11-27,28.469999313354492,64.7249984741211
2020-11-30,27.8799991607666,63.665000915527344
2020-12-01,28.309999465942383,64.54000091552734
2020-12-02,28.6200008392334,64.8550033569336
2020-12-03,28.6299991607666,64.94499969482422
2020-12-04,28.979999542236328,65.84500122070312
2020-12-07,28.780000686645508,65.41000366210938
2020-12-08,28.770000457763672,65.27999877929688
2020-12-09,28.700000762939453,65.06999969482422
2020-12-10,28.75,65.0199966430664
2020-12-11,28.459999084472656,64.58000183105469
2020-12-14,28.1299991607666,63.810001373291016
2020-12-15,28.610000610351562,64.83000183105469
2020-12-16,28.65999984741211,64.95999908447266
2020-12-17,28.739999771118164,65.29000091552734
2020-12-18,28.489999771118164,64.68000030517578
2020-12-21,28.719999313354492,65.01000213623047
2020-12-22,28.440000534057617,64.66000366210938
2020-12-23,28.90999984741211,65.12999725341797
2020-12-24,28.950000762939453,65.41000366210938
2020-12-28,29.09000015258789,65.94999694824219
2020-12-29,28.989999771118164,65.72000122070312
2020-12-30,29.1200008392334,66.08999633789062
2020-12-31,29.479999542236328,66.7699966430664
2021-01-04,29.079999923706055,65.73999786376953
2021-01-05,29.209999084472656,65.75
2021-01-06,30.5,67.72000122070312
2021-01-07,30.940000534057617,68.47000122070312
2021-01-08,30.920000076293945,68.5199966430664
2021-01-11,31.020000457763672,68.41999816894531
2021-01-12,31.34000015258789,68.79000091552734
2021-01-13,31.31999969482422,68.94000244140625
2021-01-14,31.459999084472656,68.94000244140625
2021-01-15,30.940000534057617,68.26000213623047
2021-01-19,31.020000457763672,68.44999694824219
2021-01-20,30.889999389648438,68.70999908447266
2021-01-21,30.559999465942383,68.12999725341797
2021-01-22,30.34000015258789,67.66999816894531
2021-01-25,30.1200008392334,67.41000366210938
2021-01-26,29.8799991607666,67.20999908447266
2021-01-27,29.0,65.33999633789062
2021-01-28,29.540000915527344,66.44999694824219
2021-01-29,28.950000762939453,65.19999694824219
2021-02-01,29.329999923706055,66.20999908447266
2021-02-02,30.040000915527344,67.62000274658203
2021-02-03,30.209999084472656,67.72000122070312
2021-02-04,30.8799991607666,69.12000274658203
2021-02-05,30.889999389648438,69.2300033569336
2021-02-08,31.290000915527344,69.7699966430664
2021-02-09,31.299999237060547,69.93000030517578
2021-02-10,31.299999237060547,70.0
2021-02-11,31.200000762939453,70.08000183105469
2021-02-12,31.520000457763672,70.44999694824219
2021-02-16,32.060001373291016,71.11000061035156
2021-02-17,32.220001220703125,71.16000366210938
2021-02-18,32.029998779296875,70.95999908447266
2021-02-19,32.40999984741211,71.47000122070312
2021-02-22,32.709999084472656,72.11000061035156
2021-02-23,32.90999984741211,72.62000274658203
2021-02-24,33.54999923706055,73.95999908447266
2021-02-25,32.939998626708984,72.58999633789062
2021-02-26,32.310001373291016,71.36000061035156
2021-03-01,33.31999969482422,73.16000366210938
2021-03-02,33.20000076293945,72.87000274658203
2021-03-03,33.459999084472656,73.04000091552734
2021-03-04,33.08000183105469,72.08999633789062
2021-03-05,33.709999084472656,73.41000366210938
2021-03-08,34.13999938964844,74.43000030517578
2021-03-09,33.83000183105469,74.16999816894531
2021-03-10,34.52000045776367,75.3499984741211
2021-03-11,34.41999816894531,75.54000091552734
2021-03-12,34.77000045776367,76.3499984741211
2021-03-15,34.56999969482422,76.26000213623047
2021-03-16,34.209999084472656,75.70999908447266
2021-03-17,34.439998626708984,75.95999908447266
2021-03-18,34.619998931884766,75.93000030517578
2021-03-19,34.220001220703125,74.69999694824219
2021-03-22,33.630001068115234,74.20999908447266
2021-03-23,33.15999984741211,73.41999816894531
2021-03-24,33.279998779296875,73.58000183105469
2021-03-25,33.84000015258789,74.27999877929688
2021-03-26,34.369998931884766,75.61000061035156
2021-03-29,34.06999969482422,75.05999755859375
2021-03-30,34.310001373291016,75.31999969482422
2021-03-31,34.04999923706055,74.87000274658203
2021-04-01,34.470001220703125,75.91000366210938
2021-04-05,34.7400016784668,76.51000213623047
2021-04-06,34.66999816894531,76.44999694824219
2021-04-07,34.84000015258789,76.72000122070312
2021-04-08,34.849998474121094,76.77999877929688
2021-04-09,35.150001525878906,77.2300033569336
2021-04-12,35.29999923706055,77.55999755859375
2021-04-13,34.970001220703125,77.16999816894531
2021-04-14,35.18000030517578,77.44000244140625
2021-04-15,35.150001525878906,77.87999725341797
2021-04-16,35.400001525878906,78.23999786376953
2021-04-19,35.29999923706055,78.11000061035156
2021-04-20,34.63999938964844,77.13999938964844
2021-04-21,35.119998931884766,78.12000274658203
2021-04-22,34.72999954223633,77.54000091552734
2021-04-23,35.380001068115234,78.70999908447266
2021-04-26,35.52000045776367,78.9800033569336
2021-04-27,35.79999923706055,79.5
2021-04-28,35.939998626708984,79.70999908447266
2021-04-29,36.58000183105469,80.7699966430664
2021-04-30,36.2599983215332,80.22000122070312
2021-05-03,36.439998626708984,80.4000015258789
2021-05-04,36.72999954223633,80.58000183105469
2021-05-05,37.029998779296875,80.77999877929688
2021-05-06,37.58000183105469,81.6500015258789
2021-05-07,37.779998779296875,82.2300033569336
2021-05-10,37.75,81.9000015258789
2021-05-11,37.08000183105469,80.75
2021-05-12,36.70000076293945,79.4000015258789
2021-05-13,37.290000915527344,80.75
