Date,XLF,IYF,hedge_ratio,signal,strategy_return,cumulative_return
2021-08-20,37.689998626708984,83.33999633789062,0.45915874249388633,1,0.003760471724800053,1.078697450479178
2021-08-23,38.0,83.9000015258789,0.4597890747576572,1,0.005139701458938942,1.0842416333391596
2021-08-24,38.22999954223633,84.23999786376953,0.4606633920957439,1,0.004189370441037581,1.088783923188813
2021-08-25,38.68000030517578,84.80999755859375,0.4628682348635846,1,0.00865385789128634,1.098206104534406
2021-08-26,38.4900016784668,84.4000015258789,0.4628952763362811,1,-0.00267442494761611,1.095269034730815
2021-08-27,39.0,85.44999694824219,0.4631752660274135,1,0.0074914076322198635,1.1034741415369316
2021-08-30,38.45000076293945,84.7300033569336,0.46067709591745465,1,-0.010199873561636066,1.0922188448147199
2021-08-31,38.400001525878906,84.7300033569336,0.46006102275144356,1,-0.0013003702488542102,1.0907985559236848
2021-09-01,38.18000030517578,84.75,0.45738468736162197,1,-0.005837774596572797,1.0844307198239354
2021-09-02,38.310001373291016,84.83999633789062,0.4583822473054824,1,0.0029192535044255535,1.0875964480030882
2021-09-03,38.06999969482422,84.51000213623047,0.45736372826579264,1,-0.004481799867614666,1.0827220583864097
2021-09-07,37.84000015258789,84.01000213623047,0.45733441760219234,1,-0.0033355165714895074,1.0791106210183445
2021-09-08,37.75,84.04000091552734,0.45611670567467155,1,-0.002541747169797664,1.0763677946514725
2021-09-09,37.86000061035156,83.80999755859375,0.4586220379789198,0,0.004162238211657891,1.0808478938161687
2021-09-10,37.58000183105469,83.05999755859375,0.45940968522628556,0,-0.0,1.0808478938161687
2021-09-13,38.0099983215332,83.80000305175781,0.46048865745528084,0,0.0,1.0808478938161687
2021-09-14,37.5,82.9000015258789,0.459378476207152,0,-0.0,1.0808478938161687
2021-09-15,37.86000061035156,83.54000091552734,0.46014693210141094,0,0.0,1.0808478938161687
2021-09-16,37.75,83.45999908447266,0.4592936777991939,0,-0.0,1.0808478938161687
2021-09-17,37.58000183105469,82.9800033569336,0.4598779893532139,0,-0.0,1.0808478938161687
2021-09-20,36.54999923706055,80.97000122070312,0.4586314444357254,0,-0.0,1.0808478938161687
2021-09-21,36.5,80.91999816894531,0.45828338911812583,0,-0.0,1.0808478938161687
2021-09-22,37.11000061035156,82.05999755859375,0.459343710683582,0,0.0,1.0808478938161687
2021-09-23,38.02000045776367,84.0,0.4595850927995405,0,0.0,1.0808478938161687
2021-09-24,38.220001220703125,84.02999877929688,0.4617749105474477,0,0.0,1.0808478938161687
2021-09-27,38.7400016784668,85.06999969482422,0.4622710234814082,0,0.0,1.0808478938161687
2021-09-28,38.099998474121094,83.6500015258789,0.4624682545926798,0,-0.0,1.0808478938161687
2021-09-29,38.130001068115234,83.81999969482422,0.46189820147188415,0,-0.0,1.0808478938161687
2021-09-30,37.529998779296875,82.55000305175781,0.4617326821708221,0,-0.0,1.0808478938161687
2021-10-01,38.150001525878906,83.7300033569336,0.4626266886218988,0,0.0,1.0808478938161687
2021-10-04,37.81999969482422,83.0199966430664,0.46262085887716725,0,-0.0,1.0808478938161687
2021-10-05,38.560001373291016,84.55999755859375,0.4629475731700746,0,0.0,1.0808478938161687
2021-10-06,38.599998474121094,84.72000122070312,0.46255447205194705,0,0.0,1.0808478938161687
2021-10-07,38.83000183105469,85.33999633789062,0.4618885892476194,0,0.0,1.0808478938161687
2021-10-08,39.02000045776367,85.80999755859375,0.4615667611841766,0,0.0,1.0808478938161687
2021-10-11,38.630001068115234,85.0,0.4613768755195639,0,-0.0,1.0808478938161687
2021-10-12,38.5099983215332,84.87000274658203,0.4606777140059639,0,-0.0,1.0808478938161687
2021-10-13,38.290000915527344,84.61000061035156,0.4595032371714349,0,-0.0,1.0808478938161687
2021-10-14,38.93000030517578,86.06999969482422,0.4591280457898484,0,0.0,1.0808478938161687
2021-10-15,39.5099983215332,87.19999694824219,0.4598235569666731,0,0.0,1.0808478938161687
2021-10-18,39.52000045776367,87.20999908447266,0.45989353347247947,0,0.0,1.0808478938161687
2021-10-19,39.90999984741211,88.13999938964844,0.45946839015379476,0,0.0,1.0808478938161687
2021-10-20,40.22999954223633,88.83999633789062,0.45944490817820033,0,0.0,1.0808478938161687
2021-10-21,40.060001373291016,88.75,0.45801423794163165,0,-0.0,1.0808478938161687
2021-10-22,40.619998931884766,89.80999755859375,0.4588237446742343,0,0.0,1.0808478938161687
